feature1,feature2,categorical_column,target
200.0,109.72,A,42.04
,88.45,B,22.48
59.72,79.69,A,32.01
72.85,118.35,A,47.56
46.49,130.93,C,20.03
46.49,127.94,B,38.66
73.69,74.82,D,36.62
61.51,90.72,D,34.49
42.96,109.94,C,16.48
,,C,27.75
,500.0,B,24.01
43.01,94.43,D,26.96
53.63,66.81,D,31.3
21.3,64.11,D,17.17
24.13,124.38,A,29.72
41.57,140.69,D,24.71
34.81,97.84,A,33.47
,130.11,B,28.31
36.38,110.85,A,34.68
,80.65,B,17.14
71.98,110.84,D,35.78
46.61,146.14,D,27.79
51.01,98.93,B,28.25
28.63,146.94,C,15.86
41.83,21.41,B,17.91
51.66,124.66,C,27.74
32.74,102.61,A,35.3
55.64,91.03,A,38.43
40.99,102.75,A,39.39
45.62,40.37,D,30.42
40.97,93.41,A,30.01
77.78,110.71,C,30.38
49.8,144.34,A,32.17
34.13,,B,29.64
62.34,,B,37.77
31.69,84.95,D,13.67
53.13,127.46,B,36.77
20.6,109.86,C,20.25
30.08,84.11,A,28.57
52.95,115.4,D,31.66
61.08,102.91,A,39.49
52.57,129.06,A,32.59
48.27,,C,24.62
,90.17,B,34.29
27.82,88.24,B,25.84
39.2,56.09,A,22.6
43.09,108.88,D,20.06
65.86,107.83,B,29.89
55.15,100.15,D,30.41
,92.96,B,27.7
72.85,118.35,A,47.56
41.57,140.69,D,24.71
